Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_diff,Power_factor,Type_H,Type_L,Type_M,Tool_wear_category_Low,Tool_wear_category_Medium,Tool_wear_category_High
0.34103564871087266,1.13809929479201,-0.42445652577831666,0.5744072482800665,-1.4445254188802001,1.0015265785547562,0.6857023896160443,False,True,False,True,False,False
-1.3694128844415858,-1.3016991858577511,-1.0070062573638374,1.1821046057697226,1.6801752548021243,0.8015006641211202,1.0772536438118436,False,False,True,False,False,True
-2.224637151017815,-2.6571427862187424,-0.334833490149775,0.06970944290730123,0.7694584755379292,0.5014617924706379,0.02230442230625378,False,True,False,False,False,True
1.4981037740787257,0.7992383947017623,-0.04675944705803393,-0.25988912386674995,0.5025242471329066,-1.7988362235163173,-0.280971288954933,False,False,True,False,True,False
-0.7657251668583669,-0.014027765514824788,-0.5844976608292839,0.2036088606592591,-1.2875052845243045,1.5015913646388743,0.048397752924608274,False,True,False,True,False,False
-1.319105574643001,-1.2339270058397247,-0.6549157602517095,1.3778037547918152,0.20418599185670472,0.8015006641211202,1.6386183167515997,False,False,True,False,True,False
0.039191789919277485,-0.4206608456231376,0.21570801442555237,0.739206531667092,-1.2718032710887148,-0.6986936941312912,1.4024368595581747,False,True,False,True,False,False
-1.4700275040387842,-1.5050157259119075,0.36934750407448097,0.18300895023588062,0.4397161933905483,0.7014877069042739,0.6551609883356503,False,True,False,False,True,False
0.24042102911367427,1.0703271147739837,-0.008349574645801784,-0.3010889447135061,1.3190289457835642,1.1015395357716025,-0.319501062036539,False,True,False,False,False,True
0.6428795075024965,0.9347827547378538,1.9953654361923083,-1.7842824951967353,1.695877268237714,0.10140996360330924,-1.8020299014676393,False,False,True,False,False,True
0.39134295850948614,0.7992383947017623,-0.2900219723355042,-0.20838934780830448,1.1620088114276685,0.40144883525379155,-0.35192860665888553,False,True,False,False,False,True
0.039191789919277485,0.05374441450324019,0.2733228230439006,0.30660841277615003,-1.413121392009021,0.0013970063865197113,0.781068621157035,False,True,False,True,False,False
-0.3632666884695447,-0.9628382857675033,1.3936107684006716,-1.4546839284226845,-1.1618891770395878,-0.6986936941312344,-1.459094748385281,False,True,False,True,False,False
-1.4700275040387842,-1.0983826458036332,0.1516915604051655,-0.36288867598364083,0.9421806233294145,1.3015654502051817,-0.31849242923335574,False,True,False,False,False,True
-1.017261715851377,-0.9628382857675033,-1.3654983998780041,1.0585051432294532,0.9892866636361832,0.6014747496874843,0.6246195870552562,False,True,False,False,False,True
-0.3632666884695447,-0.556205205659229,-0.09797261027434345,-0.34228876556026233,0.3455041127770109,-0.09861595083032668,-0.43355725942051876,False,True,False,False,True,False
-0.7154178570597534,-1.2339270058397247,1.1439465977211625,-1.4649838836343734,1.0992007576853102,-0.39865482248080897,-1.5801407710953208,False,True,False,False,False,True
-0.8663397864555652,-0.6239773856772555,-0.2708170361293881,-0.36288867598364083,-1.2403992442175358,0.8015006641211202,-0.5648005597707438,True,False,False,True,False,False
0.49195757810668456,0.5959218546476059,-0.3028252631395815,0.3890080544696624,1.366134986090333,-0.09861595083032668,0.5055303119833925,False,True,False,False,False,True
-1.4700275040387842,-1.437243545893881,-1.0326128389719922,1.3881037100035045,1.0520947173785415,0.8015006641210634,1.331630836774698,True,False,False,False,False,True
0.13980640951647588,1.0025549347559188,1.0799301437007756,-1.537083570116197,-1.0048690426836921,1.201552492988392,-1.7263420959167557,False,True,False,True,False,False
1.0956452956899034,0.9347827547378538,-0.9878013211577215,1.5014032173320846,-1.5387374994937375,-0.7987066513480808,1.5219800193914714,False,False,True,True,False,False
1.2465672250857154,0.18928877453933163,1.0351186258865048,-0.9190862574148515,-0.6437227336651321,-2.198888052383589,-0.7228734926856475,False,True,False,False,True,False
0.542264887905298,0.392605314593488,1.6368732936781416,-1.6091832565980209,-0.21976837090421367,-0.4986677796975985,-1.6275162538608465,True,False,False,False,True,False
-0.01111551987933601,0.8670105747198273,-0.040357801655995236,-0.13628966132648057,-1.0048690426836921,1.3015654502052385,-0.09316386100218164,False,True,False,True,False,False
-1.2184909550457739,-1.9794209860382468,-0.19399729130492382,-0.13628966132648057,-1.4916314591869688,-0.4986677796975985,-0.18805603512567692,False,True,False,True,False,False
1.6490257034745375,1.6802767349364145,0.9454955902579631,-0.8057867500862714,-0.4867025993092364,-0.7987066513480808,-0.5817657635202886,False,False,True,False,True,False
-0.3632666884695447,-0.6917495656953204,-0.6677190510557869,0.6980067108203352,-1.2875052845243045,-0.2986418652639626,0.6811231966895915,False,True,False,True,False,False
0.24042102911367427,1.2736436548281016,-0.6037025970354,0.2654085919293938,-1.4288234054446105,1.4015784074220279,0.12219941513353928,False,True,False,True,False,False
-0.56449592766397,-0.08179994553288976,-0.16198906429473037,-0.3525887207719516,-0.5809146799227738,1.0015265785547562,-0.48621797807472467,False,False,True,False,True,False
