Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_L,Type_M
-0.5466342691019678,0.24359449309801445,-1.1600077382955691,0.7883782001355731,-0.25826116955722234,1,0
0.48951761688359346,0.31165026549363195,-1.2604503236334519,1.0644024640201755,0.9158572479992404,1,0
-2.224213513078561,-2.750859492308461,-0.999299601754957,0.8278102378333734,-1.478124460524976,1,0
0.44017705088427034,0.5838733550760248,0.37341573119610566,-0.33543487425173796,0.9311055391363373,1,0
-0.6774607525261149,-0.04023675858575309,-0.6441768303150659,-0.4979728408185666,-0.16823064027106105,1,0
1.1309449748746259,0.31165026549363195,-0.0819239890022956,-0.48330501561848943,0.809119210039562,0,1
1.6840439290271318,0.18208118789022487,-1.0035603534541255,1.1385843644403062,0.6233562875812707,1,0
-0.10256917510817186,-0.3008516860667711,-1.4613354943092172,0.7982362095600234,0.22968414682987906,1,0
0.3908364848849472,0.44776181028482837,0.4068965929753999,-1.0254955339632452,-1.661103954170139,1,0
-0.7933370990985273,-0.3008516860667711,-0.02165843779956602,0.5616439833732204,-1.661103954170139,0,1
-0.15190974110746694,-0.6411305480447814,-1.0528689806018277,1.4882968692715302,-1.5848624984846544,0,1
-1.1880616270930282,-1.8661344511656262,-1.762663250322865,2.089635444162986,-0.9749308530007775,0,0
1.0816044088753307,1.128319534240849,0.8555401408179423,-0.9959215056898948,1.3428093998379542,0,1
0.5388581828828886,-0.09668436887999585,3.159023431233384,-2.1591666177750066,0.8853606657250466,1,0
-1.2374021930923231,-1.9341902235612438,-0.17567040198431938,-0.09884264806493574,-1.051172308686262,1,0
-0.8920182310971455,-1.0494651824184091,-0.5238713644889792,0.4532058797042699,0.5651465518460113,0,1
1.229626106873272,1.3324868514276629,0.9693750708675426,-1.212797713027797,-1.1274137643717468,0,0
2.3261672126232877,0.5616182104814395,-0.022450157320460202,1.4941900111489772,0.44010026542559094,1,0
-0.6946559670999091,-0.3689074584623886,-0.7917182587233329,0.43348986085536945,0.03145636204761912,0,1
0.44017705088427034,1.3324868514276629,-0.43682112386281424,-0.4734470061940399,-1.2189035111943283,1,0
-0.37061652888371416,-1.8712776285827837,-0.4362950919870581,1.6095212403245223,1.034705131338326,1,0
0.24281478688703392,-0.3008516860667711,-0.6778833286737326,-0.0002625538204347566,0.44316022274923594,1,0
-0.5466342691019678,-0.7091863204403989,-0.5104790197772615,0.22647166294191723,-1.3866347137023944,0,0
-0.3986125711040264,-0.7772420928360164,-0.5573522262682734,0.13774957812186647,-0.2277645872830285,0,0
-1.138721061093705,-1.8661344511656262,1.9537124071787924,-1.5381120240346502,1.6935200959911834,0,1
1.8217128988650093,1.8088772581968695,0.5609085571601532,-0.4931630250429397,0.3516704759266544,1,0
1.7723723328656862,1.7408214858012907,1.0631214838495664,-1.0945015999343959,0.7938709189024651,0,1
0.48951761688359346,0.5158175826804459,0.058695630470740084,-0.059410610367135484,-0.18201971387173776,1,0
-0.20125030710679004,0.7199848998672598,1.1903487586108843,-1.0846435905099456,0.5651465518460113,1,0
0.9829232768767124,0.5158175826804459,0.35332721412852913,-0.6213171475607914,-1.6001107896217512,1,0
-0.9906993630957637,-1.525855589187616,0.07878414753831661,-0.07912662921603596,-0.6089718657104515,1,0
-1.4347644570895877,-0.9814094100227917,-0.15558188491674285,-0.138274685762736,1.571533766894408,1,0
-0.6946559670999091,0.1755387207024356,-0.41003643443937887,-0.15799070461163647,-0.3802474986539977,1,0
1.0322638428760076,1.0602637618452702,-1.03947663589011,0.25604569121526793,0.47365680502342977,0,0
-0.9413587970964686,-1.1855767272096056,3.6478440132110794,-2.326752777990658,0.8701123745879497,1,0
-1.3854238910902645,-1.1855767272096056,-0.07522781664643675,-0.33543487425173796,-1.661103954170139,0,1
1.0322638428760076,1.1963753066364664,0.7082243489890477,-0.5523110815896404,0.7176294632169805,1,0
1.8217128988650093,2.14915612017488,1.3242722057280611,-1.4888219769123998,1.2055747796040819,0,1
1.180285540873949,0.10748294830681807,1.5988152723182738,-1.0945015999343959,-0.31925433410561005,0,1
-0.29993143910540826,-0.7772420928360164,0.05199945811488124,-0.3255768648272884,0.1686909822814914,1,0
0.7248573434283432,-0.9075749474970418,-0.6549292027184007,0.7723319824963811,0.3478813336748658,1,0
-0.10256917510817186,-0.5730747756492025,-0.8251991205026271,0.9461063509267749,1.1293333239185974,0,1
0.9335827108773893,0.7199848998672598,0.8220592790386481,-0.5523110815896404,-1.3408898402911036,1,0
-0.3492720051047314,-0.8452978652315953,-0.8185029481467683,1.5178708975448802,-0.28875775183141617,1,0
0.24281478688703392,-0.028628596484378318,-0.17567040198431938,-0.03969459151823501,0.244932437966976,0,1
-1.2374021930923231,-0.3008516860667711,0.11896118167346967,-0.4241569590717894,-1.5391176250733636,0,1
0.1934742208877108,-0.23279591367119223,0.3198463523492349,-1.1240756282077462,0.42791193161213903,1,0
